Date,Region,Product,Channel,Revenue,Units,Cost,Profit,Ad Spend,Complaints,Returns
2024-11-23,North,Laptop,Distributor,27000,36,15308.01,11691.99,2679,21,8
2024-02-14,West,Laptop,Online,8676,12,4943.57,3732.43,1434,17,3
2024-11-28,West,Phone,Retail,59584,76,44260.73,15323.27,1106,24,2
2024-12-23,West,Tablet,Retail,14400,20,11335.16,3064.84,6514,3,1
2024-07-13,North,Tablet,Retail,60060,78,44572.84,15487.16,8527,17,1
2024-07-12,North,Camera,Retail,91773,81,70264.67,21508.33,6925,18,3
2024-12-26,North,Laptop,Distributor,38730,30,22727.4,16002.6,2307,27,3
2024-02-21,West,Tablet,Retail,111028,82,67665.98,43362.02,7065,11,3
2024-12-09,East,Laptop,Distributor,55350,82,36544.39,18805.61,5010,5,7
2024-07-13,East,Camera,Online,73216,88,55121.07,18094.93,1916,7,0
2024-06-10,West,Tablet,Online,40180,28,31455.83,8724.17,6155,6,10
2024-09-12,West,Headphones,Online,21828,34,12529.02,9298.98,9830,8,9
2024-08-07,West,Tablet,Online,18378,18,11909.95,6468.05,1771,27,1
2024-03-19,South,Headphones,Distributor,8046,9,4944.15,3101.85,8668,16,4
2024-10-10,North,Laptop,Distributor,87492,69,50749.52,36742.48,6573,3,4
2024-08-10,South,Headphones,Online,129828,93,92944.41,36883.59,9201,24,2
2024-09-16,North,Tablet,Distributor,72995,65,40853.35,32141.65,7126,24,2
2024-10-03,North,Camera,Retail,32697,63,17445.82,15251.18,6947,28,4
2024-05-02,North,Phone,Distributor,6457,11,4646.28,1810.72,2133,24,8
2024-03-05,South,Headphones,Distributor,16962,22,11166.12,5795.88,7932,30,3
2024-10-03,South,Tablet,Retail,100190,86,61318.9,38871.1,9479,14,1
2024-05-06,South,Laptop,Retail,3306,3,2202.38,1103.62,4608,0,1
2024-12-28,North,Phone,Online,6900,5,4133.99,2766.01,9423,7,4
2024-12-08,West,Phone,Distributor,21080,17,16456.19,4623.81,8744,7,7
2024-07-27,South,Laptop,Online,79985,85,48494.05,31490.95,7735,14,0
2024-12-10,North,Laptop,Retail,79618,94,58931.47,20686.53,2790,7,3
2024-04-07,West,Phone,Retail,18840,24,12034.77,6805.23,2235,14,8
2024-02-20,North,Camera,Online,17376,12,12616.19,4759.81,4872,5,6
2024-09-05,West,Phone,Retail,5344,8,3279.57,2064.43,7396,8,7
2024-05-26,West,Camera,Distributor,91816,92,50171.85,41644.15,5861,6,0
2024-10-23,North,Tablet,Online,7686,7,4942.38,2743.62,9701,5,0
2024-09-17,North,Phone,Online,43813,77,30781.43,13031.57,4853,12,1
2024-10-18,South,Camera,Distributor,6804,6,3569.34,3234.66,9565,10,4
2024-04-14,East,Phone,Retail,32334,51,22682.53,9651.47,5915,14,5
2024-02-07,North,Headphones,Distributor,43946,73,22938.85,21007.15,4492,16,4
2024-03-08,East,Laptop,Online,37968,48,20780.8,17187.2,9900,22,4
2024-11-09,North,Camera,Retail,51510,85,40264.29,11245.71,3200,8,1
2024-02-24,South,Tablet,Retail,55770,78,39891.37,15878.63,4335,21,10
2024-05-15,West,Tablet,Online,13788,12,8646.08,5141.92,5533,1,0
2024-06-19,South,Tablet,Online,90440,95,60188.19,30251.81,8007,17,0
2024-02-27,North,Phone,Distributor,6770,5,4134.88,2635.12,3426,13,2
2024-01-22,East,Tablet,Online,32890,46,23174.95,9715.05,2684,11,8
2024-07-27,South,Phone,Online,32246,23,20111.45,12134.55,3938,23,5
2024-07-29,South,Tablet,Online,54900,90,33750.46,21149.54,1634,27,7
2024-04-23,South,Headphones,Retail,53600,40,39589.16,14010.84,4728,7,0
2024-12-03,South,Headphones,Retail,49860,36,25968.4,23891.6,5573,11,10
2024-09-17,West,Camera,Retail,2472,4,1886.41,585.59,5279,5,9
2024-05-15,North,Laptop,Distributor,47768,56,34324.34,13443.66,6139,13,9
2024-09-18,North,Headphones,Distributor,19000,25,9753.0,9247.0,8144,0,8
2024-10-02,South,Tablet,Retail,13239,9,9257.65,3981.35,6409,19,5
2024-12-05,North,Tablet,Distributor,47280,40,29432.65,17847.35,7592,22,4
2024-10-10,South,Phone,Retail,125732,86,77167.21,48564.79,3851,19,9
2024-06-03,West,Camera,Online,30927,39,17413.6,13513.4,6279,14,7
2024-08-14,South,Camera,Retail,63935,95,44604.59,19330.41,5649,16,10
2024-11-20,East,Laptop,Online,71079,87,40329.67,30749.33,4262,4,0
2024-01-24,South,Headphones,Distributor,56826,99,36176.84,20649.16,4185,22,6
